page,id,name,category,spec_source,spec_count,Model,Material,Power,Wattage,IP Rating,Ingress Protection,Lumens,Luminous Flux,Light Efficiency,Battery,Battery Capacity,Solar Panel,Panel,Charging Time,Working Time,Color Temperature,CCT,Beam Angle,Input Voltage,Warranty,Certifications,Certificates,Application,Applications,Dimension,Size,Weight,CRI,Lifespan,Finish,raw_specs
product/p1.html,p1,Solar street light,Solar Street Light,REAL(ima),23,CF2040 All-in-One Solar Street Light,Aluminum housing + PC lens,,,,,,,,,,,,,,3000K–3500K / 4000K–4500K / 6000K–6500K (optional),,70° + 140°,,3 years,"RoHS, CE, ISO 9001",,,,,,,,5 years,,"Model: CF2040 All-in-One Solar Street Light | Material: Aluminum housing + PC lens | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Type: LiFePO4 (Lithium iron phosphate) | Maximum Power: 5V / 15W | Lifespan: 5 years | Capacity: 3.2V / 15Ah (48Wh) | LED Chip: SMD3030, 28 pcs | Initial Luminous Flux: ≥1200 lm | Color Temperature: 3000K–3500K / 4000K–4500K / 6000K–6500K (optional) | Beam Angle: 70° + 140° | Charging: MPPT, 5 hours of effective sunshine | Backup / Discharge: 3 rainy days; PIR + time-control dimming (100% → 30%) | Control System: Light sensor + motion sensor + time control | Ingress / Impact Protection: IP65 / IK08 | Working Temperature: -20°C ~ 60°C | Mounting Height: 3–5 m | Pole Spacing: 10–15 m | Dimensions (Lamp): 490 × 200 × 60 mm | Net / Gross Weight: 1.87 kg / 10 kg (5 pcs / carton) | Carton Size: 57 × 29 × 50.5 cm"
product/p105.html,p105,Modular LED Street Light,LED Street Light,GENERATED,18,Modular LED Street Light,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: Modular LED Street Light | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p106.html,p106,High power modular smd led street light wholesale,LED Street Light,REAL(ima),19,High power modular smd led street light wholesale,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High power modular smd led street light wholesale | Rated Power: 6W-100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p107.html,p107,outdoor led street lamp lantern 150W,LED Street Light,REAL(ima),19,outdoor led street lamp lantern 150W,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: outdoor led street lamp lantern 150W | Rated Power: 150W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p108.html,p108,Led street lights,LED Street Light,REAL(ima),19,Led street lights,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: Led street lights | Rated Power: 500W-1000W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p109.html,p109,Dlc etl cetl led street light 50w 100w 150w 200w 250w 300w led shoebox parking lot area light,LED Street Light,REAL(ima),19,Dlc etl cetl led street light 50w 100w 150w 200w 250w 300w led shoebox parking lot area light,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: Dlc etl cetl led street light 50w 100w 150w 200w 250w 300w led shoebox parking lot area light | Rated Power: 50W-100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p11.html,p11,30w all in one solar powered street lamp dusk to dawn with motion sensor,Solar Street Light,REAL(ima),22,30w all in one solar powered street lamp dusk to dawn with motion sensor,Aluminum Alloy,,,,,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",,3 years,"RoHS, CE, ISO 9001",,,,,,,,5 years,,"Model: 30w all in one solar powered street lamp dusk to dawn with motion sensor | Rated Power: 30W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Type: LiFePO4 (Lithium iron phosphate) | Configuration: Model-specific capacity | Lifespan: 5 years | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Charging: MPPT controller, ~5h effective sunshine | Backup / Discharge: 3 rainy days; PIR + time-control dimming (100% → 30%) | Control System: Light sensor + motion sensor + time control | Ingress / Impact Protection: IP65 / IK08 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Pole Spacing: 10–20 m (model-specific) | Dimensions: Model-specific | Net Weight: Model-specific"
product/p110.html,p110,Energy saving street lamp heads led street light fixtures manufacturers,LED Street Light,GENERATED,18,Energy saving street lamp heads led street light fixtures manufacturers,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: Energy saving street lamp heads led street light fixtures manufacturers | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p112.html,p112,High power outdoor waterproof ip65 modular smd 60w 100w 150w 200w 250w 300w led street light,LED Street Light,REAL(ima),19,High power outdoor waterproof ip65 modular smd 60w 100w 150w 200w 250w 300w led street light,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High power outdoor waterproof ip65 modular smd 60w 100w 150w 200w 250w 300w led street light | Rated Power: 60W-100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p113.html,p113,China led street light manufacturers,LED Street Light,REAL(ima),18,China led street light manufacturers,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: China led street light manufacturers | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 14000LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
